timestamp,filename,processed_file,product,mrp,net_quantity,manufacturer,country,care,compliant,issue,product_id,raw_text_preview
2025-09-29T18:46:57.710127,static/uploads/WhatsApp_Image_2025-09-29_at_17.35.33_10f70b68.jpg,static/processed/processed_WhatsApp_Image_2025-09-29_at_17.35.33_10f70b68.jpg,Uploaded Product,Not Found,Not Found,Not Found,Not Found,Not Found,False,Missing mandatory fields,0,"e Samsung Galaxy S24 FE 5G (Mint, 128 GB)
eo erm
e 2025's Wwe wwwy (27,525) Assured
BEST 9
mae 43 VY 00% 259-999 29, 999
ANOROID
ee Cea F28, 499 Unbeatable deal
Top Discount of the Sale
Delivery by 4t"
2025-09-29T18:51:24.282767,static/uploads/WhatsApp_Image_2025-09-29_at_17.35.33_10f70b68.jpg,static/processed/processed_WhatsApp_Image_2025-09-29_at_17.35.33_10f70b68.jpg,Uploaded Product,Not Found,Not Found,Not Found,Not Found,Not Found,False,Missing mandatory fields,0,"e Samsung Galaxy S24 FE 5G (Mint, 128 GB)
eo erm
e 2025's Wwe wwwy (27,525) Assured
BEST 9
mae 43 VY 00% 259-999 29, 999
ANOROID
ee Cea F28, 499 Unbeatable deal
Top Discount of the Sale
Delivery by 4t"
