Product Name,Price,Image,Sales Package,Pack of,Brand,Model Number,Quantity,Flavor,Protein Type,Usage Timings,Usage Instructions,Form,Composition,Number of Scoops per Container,Ayurvedic,Shelf Life,Nutrient Content,Container Type,Food Preference,FSSAI Number,Serving Size,Model Name,Organic,Prescription Required,Suitable For,Additives,Fortified,Base Flavor,Manufacturing Process,Net Quantity,Weight,Legal Disclaimer,Dietary Preference,Calorie,Other Daily Value Features,Country of Origin,Width,Depth,Height,Protein,Fat,Sodium,Saturated Fat,Total Carbohydrate,Dietary Fiber,Cholesterol
"Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder - Primary Source Isolate Whey Protein  (907 g, Double Rich Chocolate)","₹2,999",https://rukminim2.flixcart.com/image/128/128/xif0q/protein-supplement/r/h/q/-original-imahap5vecuxp2zw.jpeg?q=70&crop=false,,,Optimum Nutrition,ON0014_VOI,907 g,Double Rich Chocolate,Whey Protein,As per Requirement,NA,Powder,NA,29,No,24 Months,NA,Jar,Vegetarian,NA,30.4 g,(ON) Gold Standard 100% Whey Protein Powder - Primary Source Isolate,,,,NA,,Chocolate,,907 g,0.959 kg,"Flipkart endeavours to ensure that the sellers provide accurate information on the platform. It is pertinent to note that, actual product packaging and materials may contain more and different information, which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions, health & nutritional claims, etc. We recommend that consumers always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please get in touch with the manufacturer.",Gluten Free,117 cal,,,12.7 cm,10.2 cm,15.2 cm,40 %,3 %,2 %,,,,
"Avvatar Whey Protein Whey Protein  (1 kg, Malai Kulfi)","₹3,039",https://rukminim2.flixcart.com/image/128/128/xif0q/protein-supplement/k/2/h/whey-protein-whey-protein-90600243-avvatar-original-imah748xgeefnk4s.jpeg?q=70&crop=false,,,Avvatar,90600243,1 kg,Malai Kulfi,Whey Protein,Post-workout,,Powder,"Whey Protein Concentrate,Whey Protein Isolate, Alkalized Cocoa Powder, Iodized Salt, Stabilizer INS 415, INS 417,Acesulfame Potassium (INS 950), Sunflower Lecithin (INS 322)CONTAINS ADDED FLAVOUR - (NATURAL AND NATURE IDENTICAL FLAVOURING SUBSTANCES).",,,730 Days,"Protein- 28g,Glutamic Acid- 3.9g,BCAA-6.2g,Other EAAS-6.2g",,Vegetarian,10012022001320,,Whey Protein,,,,,,Milk,,1 kg,1 kg,"Flipkart endeavours to ensure that the sellers provide accurate information on the platform. It is pertinent to note that, actual product packaging and materials may contain more and different information, which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions, health & nutritional claims, etc. We recommend that consumers always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please get in touch with the manufacturer.",,,,,,,,,,,,,,
"POWERLIFT Mass Gainer For Lean Muscle Gain, High Protein with Vitamins and Minerals Weight Gainers/Mass Gainers  (1 kg, Vanilla)",₹609,https://rukminim2.flixcart.com/image/128/128/xif0q/protein-supplement/t/b/h/weight-gainers-mass-gainers-mass-gainer-for-lean-muscle-gain-original-imah7pf8cughnaaz.jpeg?q=70&crop=false,Pack of 1 Mass Gainer 1kg vanilla,1,POWERLIFT,"Mass Gainer For Lean Muscle Gain, High Protein with Vitamins and Minerals",1 kg,Vanilla,Weight Gainers/Mass Gainers,As per Requirement,Mix 1 leveled scoop (50g approx) in 200-250 ml of cold skimmed milk and shake well unit dissolved. adjust liquid as per as your preference. for best results take 2 servings daily.,Powder,"Whey Protein concentrate, Skimmed Milk Powder, Sucrose, Sweetner, Milk protein, Maltodextrin, Vitamins & Minerals, Thickener, EnzymeBlend (Amylase, Protease)",20,No,18 Months,"Protein 15g, energy 378kcal",Jar,Vegetarian,10720002000019,50 g,"Mass Gainer For Lean Muscle Gain, High Protein with Vitamins and Minerals",Yes,No,Men & Woman,High Protein Mass Gainer with multivitamins,No,Vanilla,Vegan,1 kg,1 kg,"Flipkart endeavours to ensure that the sellers provide accurate information on the platform. It is pertinent to note that, actual product packaging and materials may contain more and different information, which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions, health & nutritional claims, etc. We recommend that consumers always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please get in touch with the manufacturer.","Gluten Free, Wheat Free",378 cal,HIGH-CALORIE MASS GAINER: PowerLift Mass Gainer fuels your body with 15g protein and 378 calories in a ratio of 1:5 when you consume 2 servings of 100 g each with 200 ml milk and carry out intense workout sessions (1scoop 50gm in 200ml milk),,15.5 cm,15.5 cm,21 cm,15 %,,,,75 %,,
"Wellcore Micronised Creatine Monohydrate | Lab Tested | Enhanced Absorption | 100% Pure Creatine  (100 g, Unflavored)",₹509,https://rukminim2.flixcart.com/image/128/128/xif0q/protein-supplement/m/8/u/creatine-micronised-creatine-monohydrate-lab-tested-enhanced-original-imahaf33dttyqemn.jpeg?q=70&crop=false,1 Jar of 100g Wellcore Creatine,1,Wellcore,WellCr100,100 g,,Creatine,As per Requirement,"Add one scoop (3g) of Creatine powder in 200-250ml water in shaker., Mix well for 30-40 seconds until dispersed properly., It can be consumed with juices or protein t desired",Powder,Creatine Monohydrate,33,No,12 Months,Creatine Monohydrate 3g,Jar,Vegetarian,10820005000526,3 g,Micronised Creatine Monohydrate | Lab Tested | Enhanced Absorption | 100% Pure,No,No,Maximising Energy,NA,No,Unflavored,NA,100 g,0.1 kg,"Flipkart endeavours to ensure that the sellers provide accurate information on the platform. It is pertinent to note that, actual product packaging and materials may contain more and different information, which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions, health & nutritional claims, etc. We recommend that consumers always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please get in touch with the manufacturer.",,,,,,,,,,,,,,
"MUSCLEBLAZE Micronised Creatine Monohydrate CreAMP Powder, Trustified Certified Creatine  (120 g, Citrus Blast)",₹489,https://rukminim2.flixcart.com/image/128/128/xif0q/protein-supplement/g/b/7/creatine-micronised-creatine-monohydrate-creamp-powder-original-imahff5ymsevssv5.jpeg?q=70&crop=false,"1 jar of Creatine Monohydrate CreAMP™ with CreAbsorb™, Trustified Certified Creatine (100 g, Citrus Blast)",1,MUSCLEBLAZE,NUT1369-15,120 g,Citrus Blast,Creatine,Pre-workout,,Powder,Please see the label image for ingredient information,30,No,18 Months,NA,Jar,Vegetarian,10015064000576,4 g,"Micronised Creatine Monohydrate CreAMP Powder, Trustified Certified",No,No,"Increase strength & power, Enhance energy, Volumizes Muscles and increase lean body mass",Water,,Citrus Mojito,NA,120 g,0.12 kg,"Flipkart endeavours to ensure that the sellers provide accurate information on the platform. It is pertinent to note that, actual product packaging and materials may contain more and different information, which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions, health & nutritional claims, etc. We recommend that consumers always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please get in touch with the manufacturer.",Non-GMO,,"Creatine Monohydrate with MB CreAbsorb™ for endurance, stamina, strength, athletic performance & lean muscle mass gain",,10.7 cm,18.32 cm,5.62 cm,,,,,,,
"Optimum Nutrition Gold Standard 100% Whey Whey Protein  (1500 g, Chocolate Peanut Butter)","₹3,799",https://rukminim2.flixcart.com/image/128/128/xif0q/protein-supplement/h/y/c/-original-imahe24wgggr79jr.jpeg?q=70&crop=false,,,Optimum Nutrition,1160044,1500 g,Chocolate Peanut Butter,Whey Protein,As per Requirement,,Powder,"""Protein Blend (90%) (Whey Protein Isolate, Whey Protein
Concentrate, Hydrolyzed Whey Protein Isolate, Emulsifier: INS 322(i)), Cocoa
Powder (Processed with alkali), Artificial Flavor (Chocolate Peanut Butter),
Sodium Chloride, Fat Powder (Buffering agent: INS 340(ii), Anticaking agent:
INS 341(iii), Antioxidant: INS 307(b)), Sweeteners (INS 955, INS 950).""",,,24 Months,"""Protein Blend (90%) (Whey Protein Isolate, Whey Protein
Concentrate, Hydrolyzed Whey Protein Isolate, Emulsifier: INS 322(i)), Cocoa
Powder (Processed with alkali), Artificial Flavor (Chocolate Peanut Butter),
Sodium Chloride, Fat Powder (Buffering agent: INS 340(ii), Anticaking agent:
INS 341(iii), Antioxidant: INS 307(b)), Sweeteners (INS 955, INS 950).""",,Vegetarian,10017011004358,,Gold Standard 100% Whey,,,,,,Chocolate Peanut Butter,,1500 g,1.5 kg,"Flipkart endeavours to ensure that the sellers provide accurate information on the platform. It is pertinent to note that, actual product packaging and materials may contain more and different information, which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions, health & nutritional claims, etc. We recommend that consumers always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please get in touch with the manufacturer.",,,,,,,,,,,,,,
"Optimum Nutrition (ON) Serious High Protein with Vitamins and Minerals Weight Gainers/Mass Gainers  (1 kg, Chocolate)",,https://rukminim2.flixcart.com/image/128/128/l2f20sw0/protein-supplement/b/b/y/weight-gainers-mass-gainers-on-serious-mass-high-protein-weight-original-imagdrnygjevdrvy.jpeg?q=70&crop=false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nakpro Impact Whey Protein Isolate & Concentrate, 24g Protein, Trustified Certified Whey Protein  (1 kg, Coffee)","₹1,035",https://rukminim2.flixcart.com/image/128/128/xif0q/protein-supplement/z/c/a/whey-protein-impact-whey-protein-isolate-concentrate-24g-protein-original-imahegxypmch8wtf.jpeg?q=70&crop=false,1Protein,1,Nakpro,ATPA,1 kg,Coffee,Whey Protein,"As per Requirement, Pre-workout, Post-workout","Add 180ml - 200ml of water first to the shaker and then add one heaping scoop of protein powder, mix immediately for 30 seconds for a thick and creamy shake.",Powder,"Protein, BCAA, EAA",22,No,12 Months,"Protein, BCAA, EAA",Pouch,Vegetarian,10015043001318,45 g,"Impact Whey Protein Isolate & Concentrate, 24g Protein, Trustified Certified",No,No,Men & Women,No,No,Coffee,Cruelty Free,1 kg,1 kg,"Flipkart endeavours to ensure that the sellers provide accurate information on the platform. It is pertinent to note that, actual product packaging and materials may contain more and different information, which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions, health & nutritional claims, etc. We recommend that consumers always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please get in touch with the manufacturer.","Non-GMO, Dairy Free, Gluten Free",166 cal,KEY POINTS AND BENEFITS: Pure Veg Supplement | No Artificial Flavor | No Starch | Wheat Free | Highly Soluble| Easily Digested | Yeast Free | No Sugar | Low Carbs,,20 cm,5 cm,30 cm,53 %,2 %,,1 %,32 %,,
"MUSCLEBLAZE Biozyme Iso-Zero, Low Carb Isolate, 27 g Per Scoop Whey Protein  (2 kg, Tropical Mango)","₹7,829",https://rukminim2.flixcart.com/image/128/128/xif0q/protein-supplement/y/1/1/whey-protein-biozyme-iso-zero-low-carb-isolate-27-g-per-scoop-original-imahexcfhgfbnmyq.jpeg?q=70&crop=false,"One Jar of MuscleBlaze Biozyme Iso-Zero Low Carb (Tropical Mango, 2 kg / 4.4 lb)",1,MUSCLEBLAZE,NUT5357-13,2 kg,Tropical Mango,Whey Protein,Post-workout,Starting Consuming 1 scoop (32.5g) in 200ml chilled water and Consume 1-2 shakes in a day for best result.,Powder,"Whey Protein Isolate, Sodium Chloride, Anticaking Agent (INS 551), Sweetener (INS 955), Added Flavor, Add food Color, DigeZyme",62 Scoops,No,18 Months,"Energy- 116.29 Kcal, Protein- 27 g, Carbohydrate- 1.02 g, Fat- 0.48 g",Jar,Vegetarian,10015064000576,32.5 g,"Biozyme Iso-Zero, Low Carb Isolate, 27 g Per Scoop",No,No,"Improve Lean Muscle, Helps in weight loss, Cutting Cycle, Advanced Body Builders",Water,,Mango,NA,2 kg,2 kg,"Flipkart endeavours to ensure that the sellers provide accurate information on the platform. It is pertinent to note that, actual product packaging and materials may contain more and different information, which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions, health & nutritional claims, etc. We recommend that consumers always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please get in touch with the manufacturer.","No Cholesterol, No Trans Fat, Sugar Free",116.29 cal,Whey protein isolate for lean muscle gain & post-workout recovery,,18.3 cm,18.3 cm,27.5 cm,,,,,,,
"AS-IT-IS Nutrition ATOM Whey Protein  (2 kg, Double Rich Chocolate)","₹3,739",https://rukminim2.flixcart.com/image/128/128/xif0q/protein-supplement/r/i/h/whey-protein-atom-6600720211-as-it-is-nutrition-original-imahf5yy3x5zzbkr.jpeg?q=70&crop=false,,,AS-IT-IS Nutrition,6600720211,2 kg,Double Rich Chocolate,Whey Protein,As per Requirement,"Add 1 heaped scoop of Atom whey protein to 250ml of chilled milk or water, Blend it with a shaker or a blender for 15-30 seconds, Enjoy the delightful experience of consuming whey",Powder,NA,,,18 Months,"Calories 125kcal, Protein 27g, Total fat 1g, Carbohydrates 4.70g",Pouch,Vegetarian,11215332000675,,ATOM,,,,NA,,Chocolate,,2 kg,2 kg,"Flipkart endeavours to ensure that the sellers provide accurate information on the platform. It is pertinent to note that, actual product packaging and materials may contain more and different information, which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions, health & nutritional claims, etc. We recommend that consumers always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please get in touch with the manufacturer.",Gluten Free,,,India,,,,,,,,,,
